DATE,PALLFNFINDEXQ,PALLFNFINDEXQ_SA
01/01/2003,67.05521991,75.63709117
01/04/2003,63.11250949,68.32721715
01/07/2003,64.07643281,69.41833048
01/10/2003,68.46926282,72.9403945
01/01/2004,73.85219766,74.72492332
01/04/2004,78.20585287,73.88381381
01/07/2004,80.42921555,77.53043749
01/10/2004,84.31794846,82.10087558
01/01/2005,89.1664182,84.59029241
01/04/2005,93.81133035,84.78502886
01/07/2005,102.9979367,94.9765879
01/10/2005,104.7268769,111.306209
01/01/2006,106.9535101,115.5353814
01/04/2006,117.4941781,122.7088858
01/07/2006,118.6653453,124.0072429
01/10/2006,113.1893776,117.6605092
01/01/2007,115.806348,116.6790737
01/04/2007,126.7551524,122.4331133
01/07/2007,128.980819,126.0820409
01/10/2007,144.9382115,142.7211387
01/01/2008,162.3262606,157.7501348
01/04/2008,189.0854369,180.0591354
01/07/2008,181.816046,173.7946973
01/10/2008,117.0174388,123.5967709
01/01/2009,102.0986338,110.6805051
01/04/2009,111.73483,116.9495377
01/07/2009,119.4202479,124.7621456
01/10/2009,130.7336287,135.2047604
01/01/2010,139.3057423,140.178468
01/04/2010,142.4782039,138.1561649
01/07/2010,141.3069078,138.4081297
01/10/2010,158.4780341,156.2609612
01/01/2011,178.6487898,174.072664
01/04/2011,188.6956517,179.6693502
01/07/2011,183.9158914,175.8945426
01/10/2011,175.0322801,181.6116122
01/01/2012,181.3353643,189.9172355
01/04/2012,171.8185464,177.0332541
01/07/2012,170.2951677,175.6370654
01/10/2012,170.0930878,174.5642195
01/01/2013,173.5782704,174.4509961
01/04/2013,166.2074939,161.8854548
01/07/2013,167.5139069,164.6151288
01/10/2013,165.3793271,163.1622543
01/01/2014,167.835528,163.2594022
01/04/2014,168.842541,159.8162395
01/07/2014,159.4064292,151.3850804
01/10/2014,136.9371613,143.5164934
01/01/2015,114.8072956,123.3891669
01/04/2015,116.1474616,121.3621693
01/07/2015,104.5213419,109.8632395
01/10/2015,96.20764264,100.6787743
01/01/2016,88.62831019,89.50103585
01/04/2016,100.4250964,96.10305734
01/07/2016,103.0433833,100.1446053
01/10/2016,107.9032101,105.6861372
01/01/2017,114.2928531,109.7167273
01/04/2017,108.5719019,99.54560043
01/07/2017,111.1220452,103.1006964
01/10/2017,119.3517499,125.931082
01/01/2018,126.9757745,135.5576458
01/04/2018,130.8552632,136.0699709
01/07/2018,129.6873663,135.029264
01/10/2018,123.3908168,127.8619485
01/01/2019,118.375829,119.2485546
01/04/2019,119.0956037,114.7735646
01/07/2019,114.4956634,111.5968854
01/10/2019,116.1261083,113.9090354
01/01/2020,107.3732691,102.7971433
01/04/2020,92.21955445,83.19325296
01/07/2020,106.6318847,98.61053596
01/10/2020,117.2435483,123.8228804
01/01/2021,138.6466325,147.2285037
01/04/2021,153.7329546,158.9476622
01/07/2021,166.5256466,171.8675443
01/10/2021,187.0936639,191.5647956
01/01/2022,211.8725943,212.74532
01/04/2022,228.7352326,224.4131936
01/07/2022,230.4612082,227.5624301
01/10/2022,192.5989517,190.3818788
01/01/2023,175.1659404,170.5898146
01/04/2023,160.6559456,151.6296441
01/07/2023,162.5958988,154.57455
01/10/2023,164.195321,170.7746531
01/01/2024,160.3416443,168.9235156
01/04/2024,168.6090456,173.8237533
01/07/2024,163.8734397,169.2153374
