End - March,Reserve Bank - Bank Rate,Lending Rates - SBI,Lending Rates - Five Major Banks,Call/Notice - Money Rates
2000-01,7,11.5,11.00-12.00,9.15
2001-02,6.5,11.5,11.00-12.00,7.16
2002-03,6.25,10.75,10.75-11.50,5.89
2003-04,6,10.25,10.25-11.00,4.62
2004-05,6,10.25,10.25-11.00,4.65
2005-06,6,10.25,10.25-12.75,5.6
2006-07,6,12.25,12.25-14.75,7.22
2007-08,6,12.25,12.25-15.75,6.07
2008-09,6,12.25,11.50-16.75,7.06
2009-10,6,11.75,11.00-15.75,3.24
2010-11,6,8.25,8.25-9.50,5.75
2011-12,9.5,10,10.00-10.75,8.12
2012-13,8.5,9.7,9.70-10.25,8.3
2013-14,9,10,10.00-10.25,9.7
2014-15,8.5,10,10.00-10.25,11
2015-16,7.75,9.3,9.30-9.70,10.05
2016-17,6.75,7.75,7.75-8.20,6.04
2017-18,6.25,7.75,7.75-8.10,5.83
